SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,20334 Highpoint Pl,Canyon Country,CA,91351,590000,4,2,CAN1 - Canyon Country 1,1577,18386,1988,3,374,,Active,,,http://www.redfin.com/CA/Santa-Clarita/20334-Highpoint-Pl-91351/home/5902771,CRMLS,BB19195736,N,Y,34.4346968,-118.4908441
MLS Listing,,Single Family Residential,26339 Piazza Di Sarro,Newhall,CA,91321,589000,3,2.5,NEW4 - Newhall 4,2125,33397,2014,34,277,193,Active,,,http://www.redfin.com/CA/Santa-Clarita/26339-Piazza-Di-Sarro-91321/home/79040315,CRMLS,BB19169191,N,Y,34.3992709,-118.4842782
MLS Listing,,Single Family Residential,20538 Calhaven Dr,Saugus,CA,91390,664900,5,4,BOUQ - Bouquet Canyon,2461,6490,1979,47,270,,Active,,,http://www.redfin.com/CA/Santa-Clarita/20538-Calhaven-Dr-91390/home/5968664,CRMLS,BB19157289,N,Y,34.4618031,-118.4953132
MLS Listing,,Single Family Residential,19103 Pleasantdale St,Canyon Country,CA,91351,435000,3,1,CAN1 - Canyon Country 1,920,5866,1961,1,473,,Active,,,http://www.redfin.com/CA/Canyon-Country/19103-Pleasantdale-St-91351/home/5912005,CRMLS,SW19198014,N,Y,34.4211116,-118.4688547
MLS Listing,,Condo/Co-op,22814 Banyan Pl #12,Saugus,CA,91390,400000,2,2.5,COPN - Copper Hill North,1059,224705,1988,1,378,205,Active,,,http://www.redfin.com/CA/Santa-Clarita/22814-Banyan-Pl-91390/unit-12/home/6379463,CRISNet,SR19197863,N,Y,34.4628182,-118.5342275
MLS Listing,,Townhouse,21705 Bene Dr,Saugus,CA,91350,525000,3,3,VMET - Villa Metro,1696,20542,2014,2,310,219,Active,,,http://www.redfin.com/CA/Santa-Clarita/21705-Bene-Dr-91350/home/110113152,CRISNet,SR19197509,N,Y,34.4170101,-118.5157356
MLS Listing,,Single Family Residential,26809 Grommon Way,Canyon Country,CA,91351,529900,3,2,RBGL - Rainbow Glen,1392,112863,1999,2,381,148,Active,,,http://www.redfin.com/CA/Santa-Clarita/26809-Grommon-Way-91351/home/6020287,CRISNet,SR19197503,N,Y,34.4154753,-118.4885404
MLS Listing,,Townhouse,28368 Santa Rosa Ln,Saugus,CA,91350,474998,3,3,PLUM - Plum Canyon,1850,140552,2006,2,257,180,Active,,,http://www.redfin.com/CA/Santa-Clarita/28368-Santa-Rosa-Ln-91350/home/17236500,CRISNet,SR19197208,N,Y,34.444146,-118.476652
MLS Listing,,Single Family Residential,20503 Sugarberry Ct,Saugus,CA,91350,609990,4,3,FEKS - Five Knolls,2431,53234,2016,2,251,215,Active,,,http://www.redfin.com/CA/Santa-Clarita/Sugarberry-Ct-91351/home/109713632,CRISNet,SR19197183,N,Y,34.433886,-118.495812
MLS Listing,,Single Family Residential,28721 Placerview,Saugus,CA,91390,644900,3,3,COPN - Copper Hill North,2420,48586,2001,2,266,95,Active,,,http://www.redfin.com/CA/Santa-Clarita/28721-Placerview-Trl-91390/home/8105231,CRISNet,SR19196411,N,Y,34.4662794,-118.5099114
MLS Listing,,Single Family Residential,19310 Lonerock St,Canyon Country,CA,91351,500000,3,2,CAN1 - Canyon Country 1,1080,6111,1961,3,463,,Active,,,http://www.redfin.com/CA/Canyon-Country/19310-Lonerock-St-91351/home/5909660,CRISNet,SR19197106,N,Y,34.4220395,-118.4726643
MLS Listing,,Single Family Residential,22715 Buckeye Ct,Saugus,CA,91390,650000,4,2.5,COPN - Copper Hill North,1851,5718,1988,3,351,,Active,,,http://www.redfin.com/CA/Santa-Clarita/22715-Buckeye-Ct-91390/home/6383457,CRISNet,SR19197095,N,Y,34.4694507,-118.5320777
