SALE TYPE,PROPERTY TYPE,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
PAST SALE,Single Family Residential,Canyon Country,91387.0,570000,3.0,2.5,CAN2 - Canyon Country 2,1464.0,10789.0,1983.0,5,389.0,0.0,34.4494848,-118.4001763
PAST SALE,Single Family Residential,Canyon Country,91387.0,535000,3.0,2.0,CAN2 - Canyon Country 2,1548.0,24285.0,1974.0,69,346.0,0.0,34.457457399999996,-118.38940420000002
PAST SALE,Single Family Residential,Canyon Country,91387.0,525000,4.0,2.0,CAN2 - Canyon Country 2,1326.0,7336.0,1975.0,37,396.0,0.0,34.45496179999999,-118.39180060000001
PAST SALE,Single Family Residential,Canyon Country,91387.0,560000,4.0,2.0,CAN2 - Canyon Country 2,1854.0,6628.0,1991.0,31,302.0,0.0,34.4400285,-118.38871950000001
PAST SALE,Single Family Residential,Canyon Country,91387.0,560000,3.0,1.75,CAN2 - Canyon Country 2,1479.0,8662.0,1965.0,18,379.0,45.0,34.4279448,-118.42541489999999
PAST SALE,Single Family Residential,Canyon Country,91387.0,475000,3.0,0.75,CAN2 - Canyon Country 2,1040.0,6869.0,1973.0,10,457.0,0.0,34.4477667,-118.3904084
PAST SALE,Single Family Residential,Canyon Country,91387.0,540000,3.0,2.0,CAN2 - Canyon Country 2,1572.0,6741.0,1969.0,70,344.0,0.0,34.434057,-118.4038733
PAST SALE,Single Family Residential,Canyon Country,91387.0,500000,4.0,1.75,CAN2 - Canyon Country 2,1593.0,7535.0,1970.0,3,314.0,0.0,34.4474136,-118.3984418
PAST SALE,Single Family Residential,Canyon Country,91387.0,619900,4.0,2.0,CAN2 - Canyon Country 2,1736.0,12641.0,1977.0,18,357.0,0.0,34.429168700000005,-118.43239709999999
PAST SALE,Single Family Residential,Canyon Country,91351.0,589999,3.0,2.0,CAN1 - Canyon Country 1,1925.0,99277.0,2006.0,13,306.0,0.0,34.46862279999999,-118.42719469999999
