SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-14-2019,Single Family Residential,29914 Wisteria Valley Rd,Canyon Country,CA,91387,570000,3,2.5,CAN2 - Canyon Country 2,1464,10789,1983,5,389,,Sold,,,http://www.redfin.com/CA/Santa-Clarita/29914-Wistaria-Valley-Rd-91387/home/6049268,CRMLS,BB19149827,N,Y,34.4494848,-118.4001763
PAST SALE,June-11-2019,Single Family Residential,30376 Abelia Rd,Canyon Country,CA,91387,535000,3,2,CAN2 - Canyon Country 2,1548,24285,1974,69,346,,Sold,,,http://www.redfin.com/CA/Santa-Clarita/30376-Abelia-Rd-91387/home/6046206,CRISNet,SR19049946,N,Y,34.4574574,-118.3894042
PAST SALE,July-13-2019,Single Family Residential,14711 Zinnia Ct,Canyon Country,CA,91387,525000,4,2,CAN2 - Canyon Country 2,1326,7336,1975,37,396,,Sold,,,http://www.redfin.com/CA/Santa-Clarita/14711-Zinnia-Ct-91387/home/6045848,CRISNet,SR19134755,N,Y,34.4549618,-118.3918006
PAST SALE,July-19-2019,Single Family Residential,29331 Canyon Rim Pl,Canyon Country,CA,91387,560000,4,2,CAN2 - Canyon Country 2,1854,6628,1991,31,302,,Sold,,,http://www.redfin.com/CA/Canyon-Country/29331-Canyon-Rim-Pl-91387/home/6050248,CRISNet,SR19061589,N,Y,34.4400285,-118.3887195
PAST SALE,August-1-2019,Single Family Residential,16530 Fairglade St,Canyon Country,CA,91387,560000,3,1.75,CAN2 - Canyon Country 2,1479,8662,1965,18,379,45,Sold,,,http://www.redfin.com/CA/Santa-Clarita/16530-Fairglade-St-91387/home/6025463,CRMLS,WS19113283,N,Y,34.4279448,-118.4254149
PAST SALE,August-9-2019,Single Family Residential,14610 Daisy Meadow St,Canyon Country,CA,91387,475000,3,0.75,CAN2 - Canyon Country 2,1040,6869,1973,10,457,,Sold,,,http://www.redfin.com/CA/Santa-Clarita/14610-Daisy-Meadow-St-91387/home/6048227,CRMLS,SB19101136,N,Y,34.4477667,-118.3904084
PAST SALE,June-10-2019,Single Family Residential,29103 Gladiolus Dr,Canyon Country,CA,91387,540000,3,2,CAN2 - Canyon Country 2,1572,6741,1969,70,344,,Sold,,,http://www.redfin.com/CA/Santa-Clarita/29103-Gladiolus-Dr-91387/home/6021505,CRISNet,SR19091896,N,Y,34.434057,-118.4038733
PAST SALE,August-16-2019,Single Family Residential,29798 Wisteria Valley Rd,Canyon Country,CA,91387,500000,4,1.75,CAN2 - Canyon Country 2,1593,7535,1970,3,314,,Sold,,,http://www.redfin.com/CA/Canyon-Country/29798-Wistaria-Valley-Rd-91387/home/6047820,CRMLS,AR19167630,N,Y,34.4474136,-118.3984418
PAST SALE,August-1-2019,Single Family Residential,28475 Alder Peak Ave,Canyon Country,CA,91387,619900,4,2,CAN2 - Canyon Country 2,1736,12641,1977,18,357,,Sold,,,http://www.redfin.com/CA/Santa-Clarita/28475-Alder-Peak-91387/home/6026032,CRISNet,SR19079087,N,Y,34.4291687,-118.4323971
PAST SALE,August-6-2019,Single Family Residential,16752 Vasquez Canyon Rd,Canyon Country,CA,91351,589999,3,2,CAN1 - Canyon Country 1,1925,99277,2006,13,306,,Sold,,,http://www.redfin.com/CA/Canyon-Country/16752-Vasquez-Canyon-Rd-91351/home/17245468,CRISNet,SR19121114,N,Y,34.4686228,-118.4271947
PAST SALE,May-30-2019,Single Family Residential,29510 Abelia Rd,Canyon Country,CA,91387,517000,3,2,CAN2 - Canyon Country 2,1348,6727,1968,81,384,,Sold,,,http://www.redfin.com/CA/Santa-Clarita/29510-Abelia-Rd-91387/home/6047117,CRMLS,BB19055911,N,Y,34.4424682,-118.3931015
PAST SALE,June-6-2019,Single Family Residential,29642 Louis Ave,Canyon Country,CA,91351,560000,4,3,CAN1 - Canyon Country 1,2304,5676,1981,74,243,,Sold,,,http://www.redfin.com/CA/Canyon-Country/29642-Louis-Ave-91351/home/6372372,CRISNet,SR19099660,N,Y,34.4472359,-118.4300697
